GEO.display-label,GEOid,GEOid2,Information_Industry_#,Information_Industry_%,HHI_200+_#,HHI_200+_%
"Census Tract 125, Bronx County, New York",1400000US36005012500,36005012500,0,0.0,35,2.6
"Census Tract 127.01, Bronx County, New York",1400000US36005012701,36005012701,11,1.7,0,0.0
"Census Tract 129.01, Bronx County, New York",1400000US36005012901,36005012901,8,0.8,0,0.0
"Census Tract 130, Bronx County, New York",1400000US36005013000,36005013000,30,4.0,12,2.6
"Census Tract 131, Bronx County, New York",1400000US36005013100,36005013100,7,0.4,0,0.0
"Census Tract 132, Bronx County, New York",1400000US36005013200,36005013200,40,1.1,185,7.5
"Census Tract 133, Bronx County, New York",1400000US36005013300,36005013300,35,1.4,0,0.0
"Census Tract 135, Bronx County, New York",1400000US36005013500,36005013500,8,0.6,6,0.5
"Census Tract 138, Bronx County, New York",1400000US36005013800,36005013800,0,0.0,86,7.1
"Census Tract 141, Bronx County, New York",1400000US36005014100,36005014100,44,2.0,39,2.0
"Census Tract 143, Bronx County, New York",1400000US36005014300,36005014300,0,0.0,0,0.0
"Census Tract 144, Bronx County, New York",1400000US36005014400,36005014400,16,0.9,40,1.9
"Census Tract 145, Bronx County, New York",1400000US36005014500,36005014500,82,4.2,0,0.0
"Census Tract 147.01, Bronx County, New York",1400000US36005014701,36005014701,19,1.1,0,0.0
"Census Tract 147.02, Bronx County, New York",1400000US36005014702,36005014702,0,0.0,0,0.0
"Census Tract 149, Bronx County, New York",1400000US36005014900,36005014900,10,0.7,0,0.0
"Census Tract 151, Bronx County, New York",1400000US36005015100,36005015100,11,0.6,14,0.8
"Census Tract 152, Bronx County, New York",1400000US36005015200,36005015200,29,2.1,80,9.2
"Census Tract 153, Bronx County, New York",1400000US36005015300,36005015300,53,3.4,0,0.0
"Census Tract 155, Bronx County, New York",1400000US36005015500,36005015500,10,1.2,0,0.0
"Census Tract 157, Bronx County, New York",1400000US36005015700,36005015700,51,2.8,10,0.8
"Census Tract 158, Bronx County, New York",1400000US36005015800,36005015800,16,2.8,19,4.5
"Census Tract 159, Bronx County, New York",1400000US36005015900,36005015900,0,0.0,0,0.0
"Census Tract 160, Bronx County, New York",1400000US36005016000,36005016000,117,5.4,150,9.8
"Census Tract 161, Bronx County, New York",1400000US36005016100,36005016100,46,3.1,0,0.0
"Census Tract 162, Bronx County, New York",1400000US36005016200,36005016200,29,3.5,28,5.1
"Census Tract 163, Bronx County, New York",1400000US36005016300,36005016300,0,-,0,-
"Census Tract 164, Bronx County, New York",1400000US36005016400,36005016400,5,1.6,12,3.3
"Census Tract 165, Bronx County, New York",1400000US36005016500,36005016500,9,2.1,0,0.0
"Census Tract 166, Bronx County, New York",1400000US36005016600,36005016600,13,1.3,62,8.4
"Census Tract 167, Bronx County, New York",1400000US36005016700,36005016700,11,1.3,0,0.0
"Census Tract 169, Bronx County, New York",1400000US36005016900,36005016900,6,1.6,9,2.0
"Census Tract 171, Bronx County, New York",1400000US36005017100,36005017100,0,-,0,-
"Census Tract 173, Bronx County, New York",1400000US36005017300,36005017300,78,4.2,0,0.0
"Census Tract 175, Bronx County, New York",1400000US36005017500,36005017500,33,1.5,34,1.4
"Census Tract 177.01, Bronx County, New York",1400000US36005017701,36005017701,18,1.2,41,3.3
"Census Tract 177.02, Bronx County, New York",1400000US36005017702,36005017702,0,0.0,0,0.0
"Census Tract 179.01, Bronx County, New York",1400000US36005017901,36005017901,7,0.4,0,0.0
"Census Tract 179.02, Bronx County, New York",1400000US36005017902,36005017902,31,2.2,0,0.0
"Census Tract 181.01, Bronx County, New York",1400000US36005018101,36005018101,0,0.0,0,0.0
"Census Tract 181.02, Bronx County, New York",1400000US36005018102,36005018102,0,0.0,0,0.0
"Census Tract 183.01, Bronx County, New York",1400000US36005018301,36005018301,66,3.9,20,1.1
"Census Tract 183.02, Bronx County, New York",1400000US36005018302,36005018302,0,0.0,0,0.0
"Census Tract 184, Bronx County, New York",1400000US36005018400,36005018400,18,1.0,76,5.3
"Census Tract 185, Bronx County, New York",1400000US36005018500,36005018500,29,1.2,0,0.0
"Census Tract 189, Bronx County, New York",1400000US36005018900,36005018900,0,0.0,0,0.0
"Census Tract 193, Bronx County, New York",1400000US36005019300,36005019300,0,0.0,14,0.7
"Census Tract 194, Bronx County, New York",1400000US36005019400,36005019400,0,0.0,35,4.9
"Census Tract 195, Bronx County, New York",1400000US36005019500,36005019500,40,1.4,3,0.1
"Census Tract 197, Bronx County, New York",1400000US36005019700,36005019700,119,4.4,30,1.4
"Census Tract 199, Bronx County, New York",1400000US36005019900,36005019900,0,0.0,33,1.2
"Census Tract 200, Bronx County, New York",1400000US36005020000,36005020000,38,1.8,39,2.6
"Census Tract 201, Bronx County, New York",1400000US36005020100,36005020100,15,0.9,22,1.7
"Census Tract 202, Bronx County, New York",1400000US36005020200,36005020200,50,5.1,4,0.5
"Census Tract 204, Bronx County, New York",1400000US36005020400,36005020400,26,1.8,28,2.7
"Census Tract 205.01, Bronx County, New York",1400000US36005020501,36005020501,13,0.5,0,0.0
"Census Tract 205.02, Bronx County, New York",1400000US36005020502,36005020502,80,11.1,6,0.7
"Census Tract 206.01, Bronx County, New York",1400000US36005020601,36005020601,68,5.0,38,4.5
"Census Tract 209, Bronx County, New York",1400000US36005020900,36005020900,62,3.2,0,0.0
"Census Tract 210.01, Bronx County, New York",1400000US36005021001,36005021001,214,4.6,0,0.0
"Census Tract 210.02, Bronx County, New York",1400000US36005021002,36005021002,9,0.3,63,2.1
"Census Tract 211, Bronx County, New York",1400000US36005021100,36005021100,29,1.5,0,0.0
"Census Tract 212, Bronx County, New York",1400000US36005021200,36005021200,12,0.5,0,0.0
"Census Tract 213.01, Bronx County, New York",1400000US36005021301,36005021301,16,3.5,11,2.4
"Census Tract 213.02, Bronx County, New York",1400000US36005021302,36005021302,14,0.7,0,0.0
"Census Tract 215.01, Bronx County, New York",1400000US36005021501,36005021501,0,0.0,0,0.0
"Census Tract 215.02, Bronx County, New York",1400000US36005021502,36005021502,53,2.4,0,0.0
"Census Tract 216.01, Bronx County, New York",1400000US36005021601,36005021601,17,1.0,9,0.6
"Census Tract 216.02, Bronx County, New York",1400000US36005021602,36005021602,128,4.4,12,0.5
"Census Tract 217, Bronx County, New York",1400000US36005021700,36005021700,13,0.7,0,0.0
"Census Tract 218, Bronx County, New York",1400000US36005021800,36005021800,0,0.0,39,1.7
"Census Tract 219, Bronx County, New York",1400000US36005021900,36005021900,5,0.8,0,0.0
"Census Tract 220, Bronx County, New York",1400000US36005022000,36005022000,16,1.9,0,0.0
"Census Tract 221.01, Bronx County, New York",1400000US36005022101,36005022101,0,0.0,0,0.0
"Census Tract 221.02, Bronx County, New York",1400000US36005022102,36005022102,54,3.4,0,0.0
"Census Tract 222, Bronx County, New York",1400000US36005022200,36005022200,58,3.5,13,1.1
"Census Tract 223, Bronx County, New York",1400000US36005022300,36005022300,21,1.0,8,0.4
"Census Tract 224.01, Bronx County, New York",1400000US36005022401,36005022401,18,1.5,27,2.4
"Census Tract 224.03, Bronx County, New York",1400000US36005022403,36005022403,87,5.6,15,1.1
"Census Tract 224.04, Bronx County, New York",1400000US36005022404,36005022404,41,1.9,32,1.8
"Census Tract 225, Bronx County, New York",1400000US36005022500,36005022500,75,2.6,25,1.1
"Census Tract 227.01, Bronx County, New York",1400000US36005022701,36005022701,9,0.4,0,0.0
"Census Tract 227.02, Bronx County, New York",1400000US36005022702,36005022702,0,0.0,0,0.0
"Census Tract 227.03, Bronx County, New York",1400000US36005022703,36005022703,9,1.1,5,0.9
"Census Tract 228, Bronx County, New York",1400000US36005022800,36005022800,238,8.0,0,0.0
"Census Tract 229.01, Bronx County, New York",1400000US36005022901,36005022901,56,2.6,11,0.6
"Census Tract 229.02, Bronx County, New York",1400000US36005022902,36005022902,29,2.1,0,0.0
"Census Tract 230, Bronx County, New York",1400000US36005023000,36005023000,16,1.1,0,0.0
"Census Tract 231, Bronx County, New York",1400000US36005023100,36005023100,0,0.0,0,0.0
"Census Tract 232, Bronx County, New York",1400000US36005023200,36005023200,13,1.1,22,2.6
"Census Tract 233.01, Bronx County, New York",1400000US36005023301,36005023301,6,0.3,0,0.0
"Census Tract 233.02, Bronx County, New York",1400000US36005023302,36005023302,17,1.3,0,0.0
"Census Tract 235.01, Bronx County, New York",1400000US36005023501,36005023501,30,2.2,0,0.0
"Census Tract 235.02, Bronx County, New York",1400000US36005023502,36005023502,8,0.4,0,0.0
"Census Tract 236, Bronx County, New York",1400000US36005023600,36005023600,16,1.6,0,0.0
"Census Tract 237.02, Bronx County, New York",1400000US36005023702,36005023702,6,1.1,0,0.0
"Census Tract 237.03, Bronx County, New York",1400000US36005023703,36005023703,6,0.3,0,0.0
"Census Tract 237.04, Bronx County, New York",1400000US36005023704,36005023704,0,0.0,18,1.3
"Census Tract 238, Bronx County, New York",1400000US36005023800,36005023800,12,1.2,6,0.8
"Census Tract 239, Bronx County, New York",1400000US36005023900,36005023900,74,2.3,0,0.0
"Census Tract 240, Bronx County, New York",1400000US36005024000,36005024000,32,1.7,0,0.0
"Census Tract 241, Bronx County, New York",1400000US36005024100,36005024100,23,0.9,0,0.0
"Census Tract 243, Bronx County, New York",1400000US36005024300,36005024300,33,1.7,0,0.0
"Census Tract 244, Bronx County, New York",1400000US36005024400,36005024400,54,4.8,19,2.3
"Census Tract 245.01, Bronx County, New York",1400000US36005024501,36005024501,0,0.0,0,0.0
