,lat,long,stop_name,Information_Industry_%,2015_med_inc,subway line,COMPLETE_NAME
77,40.662727000000004,-73.962249,Prospect Park,6.3,47153,BQ,PROSPECT PARK BQS
78,40.663226,-73.95067,Sterling St.,6.2,47578,25,STERLING ST 25
79,40.663426,-73.902636,Junius St.,2.0,27500,3,JUNIUS ST 3
80,40.663748999999996,-73.900482,Livonia Ave.,0.8,49250,L,LIVONIA AV L
81,40.664869,-73.89377900000001,Pennsylvania Ave.,0.0,40323,3,34 ST-PENN STA ACE
82,40.664891,-73.922675,Sutter Ave.-Rutland Rd.,2.9,27716,3,SUTTER AV-RUTLD 3
83,40.665299,-73.992729,Prospect Ave.,7.0,80170,R,PROSPECT AV R
84,40.665431,-73.888386,Van Siclen Ave.,0.0,40707,3,VAN SICLEN AV 3
85,40.666284999999995,-73.883276,New Lots Ave.,0.0,40707,3,NEW LOTS AV 3
86,40.667004,-73.98133100000001,7 Ave.,9.3,115000,FG,7 AV FG
87,40.668145,-73.950458,President St.,4.2,40744,25,PRESIDENT ST 25
88,40.668527000000005,-73.901765,Sutter Ave.,0.0,12863,L,SUTTER AV L
89,40.669102,-73.934213,Crown Hts-Utica Ave.,3.7,39934,34,CROWN HTS-UTICA 34
90,40.669261,-73.941948,Kingston Ave.,7.0,48114,3,KINGSTON AV 3
91,40.669339,-73.834721,Aqueduct-North Conduit Ave.,1.1,80363,A,AQUEDUCT N.COND A
92,40.669711,-73.95024699999999,Nostrand Ave.,4.2,40744,3,NOSTRAND AV 3
93,40.670387,-73.98848000000001,4 Ave.-9 St.,10.6,99648,FGR,4 AV-9 ST DFGMNR
94,40.670732,-73.957696,Franklin Ave.,10.2,55758,2345,FRANKLIN AV 2345S
95,40.672121999999995,-73.96415400000001,Eastern Parkway-Brooklyn Museum,6.1,61723,23,EASTN PKWY-MUSM 23
96,40.672478999999996,-73.890164,Van Siclen Ave.,3.9,32500,C,VAN SICLEN AVE C
97,40.673970000000004,-73.880667,Shepherd Ave.,0.7,33892,C,SHEPHERD AV C
98,40.674268,-73.896312,Liberty Ave.,0.0,26429,C,LIBERTY AV C
99,40.674725,-73.997505,Smith-9 Sts.,11.9,123592,FG,SMITH-9 ST FG
100,40.67511,-73.970822,Grand Army Plaza,8.7,130806,23,GRAND ARMY PLAZ 23
101,40.67538,-73.902612,Atlantic Ave.,0.0,26429,L,ATLANTIC AV L
102,40.675533,-73.871742,Euclid Ave.,0.6,32115,AC,EUCLID AV AC
103,40.676735,-73.865491,Grant Ave.,0.6,47206,A,GRANT AV A
104,40.676803,-73.89950999999999,Alabama Ave.,3.5,31225,J,ALABAMA AV J
105,40.677171,-73.98302,Union St.,13.7,144293,R,UNION ST R
106,40.677324,-73.972212,7 Ave.,10.2,86234,BQ,7 AV BQ
107,40.677864,-73.891566,Van Siclen Ave.,3.5,31225,JZ,VAN SICLEN AV JZ
108,40.678317,-73.913651,Rockaway Ave.,2.1,44911,C,ROCKAWAY AV C
109,40.678334,-73.903922,Broadway Junction,3.5,51140,ACJLZ,BROADWAY JCT ACJLZ
110,40.678984,-73.921442,Ralph Ave.,1.0,40412,C,RALPH AV C
111,40.679346,-73.931987,Utica Ave.,2.7,37104,AC,UTICA AV AC
112,40.679361,-73.860284,80 St.,1.1,53333,A,80 ST A
113,40.67953,-73.885716,Cleveland St.,1.0,35889,J,CLEVELAND ST J
